"sample","time","biol.rep","Protein","Oxidized_Peptides","Non_Oxidized_Peptides"
"MURI_16",3,"repeat 1","gi|254160723",0,1
"MURI_16",3,"repeat 1","gi|254160724",0,19
"MURI_16",3,"repeat 1","gi|254160725",0,5
"MURI_16",3,"repeat 1","gi|254160728",0,1
"MURI_16",3,"repeat 1","gi|254160732",0,1
"MURI_16",3,"repeat 1","gi|254160733",0,3
"MURI_16",3,"repeat 1","gi|254160734",3,13
"MURI_16",3,"repeat 1","gi|254160736",0,2
"MURI_16",3,"repeat 1","gi|254160737",0,3
"MURI_16",3,"repeat 1","gi|254160738",0,1
"MURI_16",3,"repeat 1","gi|254160739",0,7
"MURI_16",3,"repeat 1","gi|254160740",0,10
"MURI_16",3,"repeat 1","gi|254160741",0,2
"MURI_16",3,"repeat 1","gi|254160742",0,13
"MURI_16",3,"repeat 1","gi|254160743",0,8
"MURI_16",3,"repeat 1","gi|254160744",0,2
"MURI_16",3,"repeat 1","gi|254160745",0,4
"MURI_16",3,"repeat 1","gi|254160746",0,4
"MURI_16",3,"repeat 1","gi|254160747",0,2
"MURI_16",3,"repeat 1","gi|254160748",0,14
"MURI_16",3,"repeat 1","gi|254160751",0,3
"MURI_16",3,"repeat 1","gi|254160752",0,22
"MURI_16",3,"repeat 1","gi|254160753",0,0
"MURI_16",3,"repeat 1","gi|254160754",0,2
"MURI_16",3,"repeat 1","gi|254160755",0,20
"MURI_16",3,"repeat 1","gi|254160756",0,34
"MURI_16",3,"repeat 1","gi|254160780",0,12
"MURI_16",3,"repeat 1","gi|254160781",0,4
"MURI_16",3,"repeat 1","gi|254160782",0,1
"MURI_16",3,"repeat 1","gi|254160783",0,3
"MURI_16",3,"repeat 1","gi|254160790",3,48
"MURI_16",3,"repeat 1","gi|254160791",0,0
"MURI_16",3,"repeat 1","gi|254160793",0,30
"MURI_16",3,"repeat 1","gi|254160794",0,9
"MURI_16",3,"repeat 1","gi|254160795",0,13
"MURI_16",3,"repeat 1","gi|254160796",0,20
"MURI_16",3,"repeat 1","gi|254160797",2,3
"MURI_16",3,"repeat 1","gi|254160798",2,12
"MURI_16",3,"repeat 1","gi|254160800",0,1
"MURI_16",3,"repeat 1","gi|254160801",0,1
"MURI_16",3,"repeat 1","gi|254160802",0,0
"MURI_16",3,"repeat 1","gi|254160807",0,1
"MURI_16",3,"repeat 1","gi|254160808",0,0
"MURI_16",3,"repeat 1","gi|254160809",0,0
"MURI_16",3,"repeat 1","gi|254160810",5,21
"MURI_16",3,"repeat 1","gi|254160811",3,7
"MURI_16",3,"repeat 1","gi|254160812",0,8
"MURI_16",3,"repeat 1","gi|254160813",0,4
"MURI_16",3,"repeat 1","gi|254160817",6,51
"MURI_16",3,"repeat 1","gi|254160818",0,12
"MURI_16",3,"repeat 1","gi|254160819",0,4
"MURI_16",3,"repeat 1","gi|254160820",0,2
"MURI_16",3,"repeat 1","gi|254160821",0,0
"MURI_16",3,"repeat 1","gi|254160822",0,15
"MURI_16",3,"repeat 1","gi|254160823",0,3
"MURI_16",3,"repeat 1","gi|254160824",0,0
"MURI_16",3,"repeat 1","gi|254160829",0,2
"MURI_16",3,"repeat 1","gi|254160830",0,1
"MURI_16",3,"repeat 1","gi|254160835",0,8
"MURI_16",3,"repeat 1","gi|254160836",0,1
"MURI_16",3,"repeat 1","gi|254160837",0,8
"MURI_16",3,"repeat 1","gi|254160850",0,3
"MURI_16",3,"repeat 1","gi|254160851",0,1
"MURI_16",3,"repeat 1","gi|254160852",3,21
"MURI_16",3,"repeat 1","gi|254160853",0,0
"MURI_16",3,"repeat 1","gi|254160855",0,4
"MURI_16",3,"repeat 1","gi|254160856",0,7
"MURI_16",3,"repeat 1","gi|254160857",0,0
"MURI_16",3,"repeat 1","gi|254160858",0,1
"MURI_16",3,"repeat 1","gi|254160859",0,0
"MURI_16",3,"repeat 1","gi|254160860",0,3
"MURI_16",3,"repeat 1","gi|254160872",0,3
"MURI_16",3,"repeat 1","gi|254160874",0,3
"MURI_16",3,"repeat 1","gi|254160877",0,7
"MURI_16",3,"repeat 1","gi|254160878",0,11
"MURI_16",3,"repeat 1","gi|254160884",0,0
"MURI_16",3,"repeat 1","gi|254160886",0,10
"MURI_16",3,"repeat 1","gi|254160888",0,6
"MURI_16",3,"repeat 1","gi|254160889",0,8
"MURI_16",3,"repeat 1","gi|254160891",0,15
"MURI_16",3,"repeat 1","gi|254160894",0,0
"MURI_16",3,"repeat 1","gi|254160896",0,0
"MURI_16",3,"repeat 1","gi|254160897",0,2
"MURI_16",3,"repeat 1","gi|254160898",0,3
"MURI_16",3,"repeat 1","gi|254160899",0,2
"MURI_16",3,"repeat 1","gi|254160904",0,9
"MURI_16",3,"repeat 1","gi|254160905",0,5
"MURI_16",3,"repeat 1","gi|254160906",0,1
"MURI_16",3,"repeat 1","gi|254160907",0,11
"MURI_16",3,"repeat 1","gi|254160912",0,1
"MURI_16",3,"repeat 1","gi|254160915",0,0
"MURI_16",3,"repeat 1","gi|254160916",0,17
"MURI_16",3,"repeat 1","gi|254160917",0,0
"MURI_16",3,"repeat 1","gi|254160921",0,0
"MURI_16",3,"repeat 1","gi|254160927",0,4
"MURI_16",3,"repeat 1","gi|254160935",0,1
"MURI_16",3,"repeat 1","gi|254160943",0,2
"MURI_16",3,"repeat 1","gi|254160945",0,0
"MURI_16",3,"repeat 1","gi|254160956",0,0
"MURI_16",3,"repeat 1","gi|254160964",0,0
"MURI_16",3,"repeat 1","gi|254160966",0,11
"MURI_16",3,"repeat 1","gi|254160967",0,1
"MURI_16",3,"repeat 1","gi|254160968",0,0
"MURI_16",3,"repeat 1","gi|254160969",0,4
"MURI_16",3,"repeat 1","gi|254160970",0,0
"MURI_16",3,"repeat 1","gi|254160974",0,5
"MURI_16",3,"repeat 1","gi|254160975",6,21
"MURI_16",3,"repeat 1","gi|254160977",0,0
"MURI_16",3,"repeat 1","gi|254160978",0,13
"MURI_16",3,"repeat 1","gi|254160979",0,5
"MURI_16",3,"repeat 1","gi|254160980",0,6
"MURI_16",3,"repeat 1","gi|254160981",0,1
"MURI_16",3,"repeat 1","gi|254160983",0,1
"MURI_16",3,"repeat 1","gi|254160985",0,5
"MURI_16",3,"repeat 1","gi|254160986",0,0
"MURI_16",3,"repeat 1","gi|254160992",0,1
"MURI_16",3,"repeat 1","gi|254160993",0,7
"MURI_16",3,"repeat 1","gi|254160994",0,4
"MURI_16",3,"repeat 1","gi|254160995",0,1
"MURI_16",3,"repeat 1","gi|254160996",0,1
"MURI_16",3,"repeat 1","gi|254160997",0,0
"MURI_16",3,"repeat 1","gi|254160998",1,4
"MURI_16",3,"repeat 1","gi|254161000",0,4
"MURI_16",3,"repeat 1","gi|254161001",0,0
"MURI_16",3,"repeat 1","gi|254161002",40,16
"MURI_16",3,"repeat 1","gi|254161003",0,7
"MURI_16",3,"repeat 1","gi|254161004",0,15
"MURI_16",3,"repeat 1","gi|254161005",0,7
"MURI_16",3,"repeat 1","gi|254161006",0,5
"MURI_16",3,"repeat 1","gi|254161007",0,8
"MURI_16",3,"repeat 1","gi|254161008",0,1
"MURI_16",3,"repeat 1","gi|254161015",0,1
"MURI_16",3,"repeat 1","gi|254161016",0,0
"MURI_16",3,"repeat 1","gi|254161017",4,48
"MURI_16",3,"repeat 1","gi|254161019",0,7
"MURI_16",3,"repeat 1","gi|254161021",13,20
"MURI_16",3,"repeat 1","gi|254161022",0,4
"MURI_16",3,"repeat 1","gi|254161024",0,4
"MURI_16",3,"repeat 1","gi|254161025",12,108
"MURI_16",3,"repeat 1","gi|254161026",2,4
"MURI_16",3,"repeat 1","gi|254161027",0,1
"MURI_16",3,"repeat 1","gi|254161028",0,4
"MURI_16",3,"repeat 1","gi|254161031",0,6
"MURI_16",3,"repeat 1","gi|254161032",0,5
"MURI_16",3,"repeat 1","gi|254161036",0,2
"MURI_16",3,"repeat 1","gi|254161037",0,2
"MURI_16",3,"repeat 1","gi|254161038",0,31
"MURI_16",3,"repeat 1","gi|254161039",0,14
"MURI_16",3,"repeat 1","gi|254161041",0,7
"MURI_16",3,"repeat 1","gi|254161042",5,73
"MURI_16",3,"repeat 1","gi|254161043",0,84
"MURI_16",3,"repeat 1","gi|254161044",0,27
"MURI_16",3,"repeat 1","gi|254161045",0,2
"MURI_16",3,"repeat 1","gi|254161046",0,17
"MURI_16",3,"repeat 1","gi|254161052",0,1
